Term,Frequency,,
,,,0
god,13.46335261,,
,,,
mother,12.78392443,,
,,,
sir,12.30321709,,
,,,
old,11.84024604,,
,,,
make,11.81670385,,
,,,
sea,11.46556379,,
,,,
think,10.6318701,,
,,,
voice,10.3001844,,
,,,
turn,10.05890938,,
,,,
speak,9.977113236,,
,,,
face,9.586336685,,
,,,
hand,9.411893322,,
,,,
look,9.061400951,,
,,,
eye,8.41910811,,
,,,
tell,7.978540352,,
,,,
o,7.774127958,,
,,,
water,7.72969712,,
,,,
like,7.573806474,,
,,,
morning,7.474663428,,
,,,
word,7.13369838,,
,,,
day,7.094578779,,
,,,
know,6.959609625,,
,,,
hold,6.840738171,,
,,,
want,6.613274073,,
,,,
man,6.556590606,,
,,,
stand,6.145204472,,
,,,
dedalus,6.05178661,,
,,,
servant,5.994540474,,
,,,
yes,5.90620475,,
,,,
key,5.651804715,,
,,,
walk,5.636487106,,
,,,
woman,5.553848345,,
,,,
father,5.543292727,,
,,,
tea,5.466009328,,
,,,
smile,5.328122409,,
,,,
tower,5.259344939,,
,,,
sit,5.236034906,,
,,,
mirror,5.166944673,,
,,,
let,5.109882289,,
,,,
milk,5.07082105,,
,,,
long,4.987389341,,
,,,
money,4.966243975,,
,,,
bring,4.795844018,,
,,,
feel,4.744254681,,
,,,
white,4.728433102,,
,,,
irish,4.725920471,,
,,,
open,4.700390403,,
,,,
gaze,4.656300385,,
,,,
mean,4.639097958,,
,,,
round,4.611987038,,
,,,
malachi,4.602514559,,
,,,
hear,4.542315746,,
,,,
lay,4.523186232,,
,,,
good,4.486578074,,
,,,
head,4.462968617,,
,,,
wind,4.372938358,,
,,,
begin,4.242225638,,
,,,
pour,4.197706587,,
,,,
art,4.19496953,,
,,,
shirt,4.17321894,,
,,,
laugh,4.103328222,,
,,,
doorway,4.077491135,,
,,,
grey,4.059190339,,
,,,
arm,3.983723147,,
,,,
parapet,3.917712778,,
,,,
wait,3.916529773,,
,,,
bay,3.909299256,,
,,,
young,3.904445394,,
,,,
black,3.884458768,,
,,,
time,3.837697103,,
,,,
bend,3.812460073,,
,,,
green,3.732730154,,
,,,
follow,3.724048485,,
,,,
sweet,3.682089789,,
,,,
light,3.647793725,,
,,,
drink,3.596591037,,
,,,
table,3.589247096,,
,,,
air,3.575608928,,
,,,
pocket,3.433934588,,
,,,
rise,3.41713466,,
,,,
bowl,3.388947946,,
,,,
door,3.369840311,,
,,,
damn,3.249317796,,
,,,
body,3.200830038,,
,,,
forward,3.200321545,,
,,,
hair,2.979270061,,
,,,
trouser,2.684726147,,
