Term,Frequency
say,891.6226300944372
bloom,405.75730574923597
like,256.7805800274881
come,242.38736947225925
stephen,239.1736062848484
mr,235.08511810755869
know,225.19852298631446
man,204.62053189438788
hand,193.43876897067219
eye,192.35742418372195
good,184.70543934230503
look,183.295447304584
old,167.6333933267741
time,166.52872678667973
make,147.94910872212677
o,144.5642342591468
tell,137.6639202480447
yes,134.2934059966965
ask,132.89565029776588
sir,132.49664340402396
day,125.78697362555835
think,124.00788699901328
want,122.03850243121028
hear,121.56775566535876
father,119.68049330383263
woman,114.62054611074309
turn,114.57969983818154
wait,108.30811427205883
god,106.83453813810786
face,103.31330091318033
way,102.985947608108
street,102.43719960989843
life,102.18925528191463
right,101.98231229029201
night,100.10167861404054
little,98.5554320809657
head,97.33846600945631
let,97.27277249486265
thing,93.13910606695558
just,92.78469028862952
walk,91.88753143364217
feel,91.40428836859144
love,90.66949164368121
word,90.22942808292134
long,88.87844697348184
voice,88.45418045119186
round,87.54052361699412
away,82.40466180455707
mulligan,81.12455676872054
watch,80.21415713666275
laugh,78.72024585192231
pass,77.81008275581624
house,77.77387465272483
poor,75.21203051221782
john,73.01234414451963
light,72.52606704209921
hold,72.25832012204413
hat,72.03247224731824
young,71.75980383097293
mrs,71.39695489937367
stand,71.37162520707955
leave,70.59379371141841
joe,70.45149700245645
year,69.5988052127279
read,68.77318437011223
write,68.10868837461621
smile,66.9534362750969
open,66.92844732250705
black,66.08701609947438
fellow,65.61920368642859
world,63.89980469142107
j.,63.6128376333415
dedalus,63.54382491248323
water,63.50571992261429
point,62.82044448217285
bring,62.293605499334724
girl,60.558601265383956
door,60.29056269103717
foot,59.937649949682054
heart,59.831770768505535
place,58.25529555374352
wife,57.88388816981116
high,57.31730129483999
white,57.12445941614515
course,56.97047141088288
speak,56.46368097956994
bit,55.78931263676441
miss,55.67394046598653
run,55.54646394870424
lord,55.45517944013346
bear,55.43540097148515
new,55.18984909748417
mother,53.60143200013136
great,53.07890047757084
arm,51.78103689507669
s,2.7157641783302617
